Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
45	:	1737339647.199	     0.732	0	3937	1	0	cat tmp_par.txt | python3 trimbytes.py 44 | timeout 20s python3 rep_parallel.py --push 44 --offset 0 --shortcircuit 1 -e LE 
36	:	1737339646.995	     0.951	0	4486	1	0	cat tmp_par.txt | python3 trimbytes.py 35 | timeout 20s python3 rep_parallel.py --push 35 --offset 0 --shortcircuit 1 -e LE 
48	:	1737339647.267	     0.692	0	3754	1	0	cat tmp_par.txt | python3 trimbytes.py 47 | timeout 20s python3 rep_parallel.py --push 47 --offset 0 --shortcircuit 1 -e LE 
51	:	1737339647.318	     0.667	0	3571	1	0	cat tmp_par.txt | python3 trimbytes.py 50 | timeout 20s python3 rep_parallel.py --push 50 --offset 0 --shortcircuit 1 -e LE 
40	:	1737339647.076	     0.929	0	170094	0	0	cat tmp_par.txt | python3 trimbytes.py 39 | timeout 20s python3 rep_parallel.py --push 39 --offset 0 --shortcircuit 1 -e LE 
42	:	1737339647.139	     0.891	0	4120	1	0	cat tmp_par.txt | python3 trimbytes.py 41 | timeout 20s python3 rep_parallel.py --push 41 --offset 0 --shortcircuit 1 -e LE 
41	:	1737339647.099	     0.952	0	4181	1	0	cat tmp_par.txt | python3 trimbytes.py 40 | timeout 20s python3 rep_parallel.py --push 40 --offset 0 --shortcircuit 1 -e LE 
37	:	1737339647.004	     1.081	0	4425	1	0	cat tmp_par.txt | python3 trimbytes.py 36 | timeout 20s python3 rep_parallel.py --push 36 --offset 0 --shortcircuit 1 -e LE 
38	:	1737339647.011	     1.090	0	4364	1	0	cat tmp_par.txt | python3 trimbytes.py 37 | timeout 20s python3 rep_parallel.py --push 37 --offset 0 --shortcircuit 1 -e LE 
43	:	1737339647.151	     0.960	0	4059	1	0	cat tmp_par.txt | python3 trimbytes.py 42 | timeout 20s python3 rep_parallel.py --push 42 --offset 0 --shortcircuit 1 -e LE 
34	:	1737339646.939	     1.182	0	4608	1	0	cat tmp_par.txt | python3 trimbytes.py 33 | timeout 20s python3 rep_parallel.py --push 33 --offset 0 --shortcircuit 1 -e LE 
44	:	1737339647.164	     0.970	0	3998	1	0	cat tmp_par.txt | python3 trimbytes.py 43 | timeout 20s python3 rep_parallel.py --push 43 --offset 0 --shortcircuit 1 -e LE 
46	:	1737339647.223	     0.925	0	3876	1	0	cat tmp_par.txt | python3 trimbytes.py 45 | timeout 20s python3 rep_parallel.py --push 45 --offset 0 --shortcircuit 1 -e LE 
47	:	1737339647.247	     0.917	0	3815	1	0	cat tmp_par.txt | python3 trimbytes.py 46 | timeout 20s python3 rep_parallel.py --push 46 --offset 0 --shortcircuit 1 -e LE 
49	:	1737339647.301	     0.871	0	3693	1	0	cat tmp_par.txt | python3 trimbytes.py 48 | timeout 20s python3 rep_parallel.py --push 48 --offset 0 --shortcircuit 1 -e LE 
32	:	1737339646.875	     1.312	0	4730	1	0	cat tmp_par.txt | python3 trimbytes.py 31 | timeout 20s python3 rep_parallel.py --push 31 --offset 0 --shortcircuit 1 -e LE 
39	:	1737339647.059	     1.148	0	4303	1	0	cat tmp_par.txt | python3 trimbytes.py 38 | timeout 20s python3 rep_parallel.py --push 38 --offset 0 --shortcircuit 1 -e LE 
52	:	1737339647.335	     0.892	0	3510	1	0	cat tmp_par.txt | python3 trimbytes.py 51 | timeout 20s python3 rep_parallel.py --push 51 --offset 0 --shortcircuit 1 -e LE 
50	:	1737339647.315	     0.940	0	3632	1	0	cat tmp_par.txt | python3 trimbytes.py 49 | timeout 20s python3 rep_parallel.py --push 49 --offset 0 --shortcircuit 1 -e LE 
53	:	1737339647.351	     0.924	0	3449	1	0	cat tmp_par.txt | python3 trimbytes.py 52 | timeout 20s python3 rep_parallel.py --push 52 --offset 0 --shortcircuit 1 -e LE 
54	:	1737339647.375	     0.905	0	3388	1	0	cat tmp_par.txt | python3 trimbytes.py 53 | timeout 20s python3 rep_parallel.py --push 53 --offset 0 --shortcircuit 1 -e LE 
55	:	1737339647.395	     0.895	0	3327	1	0	cat tmp_par.txt | python3 trimbytes.py 54 | timeout 20s python3 rep_parallel.py --push 54 --offset 0 --shortcircuit 1 -e LE 
56	:	1737339647.409	     0.894	0	3266	1	0	cat tmp_par.txt | python3 trimbytes.py 55 | timeout 20s python3 rep_parallel.py --push 55 --offset 0 --shortcircuit 1 -e LE 
57	:	1737339647.431	     0.901	0	3205	1	0	cat tmp_par.txt | python3 trimbytes.py 56 | timeout 20s python3 rep_parallel.py --push 56 --offset 0 --shortcircuit 1 -e LE 
58	:	1737339647.448	     0.901	0	3144	1	0	cat tmp_par.txt | python3 trimbytes.py 57 | timeout 20s python3 rep_parallel.py --push 57 --offset 0 --shortcircuit 1 -e LE 
59	:	1737339647.471	     0.907	0	3083	1	0	cat tmp_par.txt | python3 trimbytes.py 58 | timeout 20s python3 rep_parallel.py --push 58 --offset 0 --shortcircuit 1 -e LE 
60	:	1737339647.643	     0.742	0	3022	1	0	cat tmp_par.txt | python3 trimbytes.py 59 | timeout 20s python3 rep_parallel.py --push 59 --offset 0 --shortcircuit 1 -e LE 
61	:	1737339647.707	     0.720	0	2961	1	0	cat tmp_par.txt | python3 trimbytes.py 60 | timeout 20s python3 rep_parallel.py --push 60 --offset 0 --shortcircuit 1 -e LE 
65	:	1737339647.959	     0.510	0	2717	1	0	cat tmp_par.txt | python3 trimbytes.py 64 | timeout 20s python3 rep_parallel.py --push 64 --offset 0 --shortcircuit 1 -e LE 
66	:	1737339647.983	     0.516	0	2656	1	0	cat tmp_par.txt | python3 trimbytes.py 65 | timeout 20s python3 rep_parallel.py --push 65 --offset 0 --shortcircuit 1 -e LE 
68	:	1737339648.030	     0.495	0	2534	1	0	cat tmp_par.txt | python3 trimbytes.py 67 | timeout 20s python3 rep_parallel.py --push 67 --offset 0 --shortcircuit 1 -e LE 
73	:	1737339648.121	     0.414	0	2229	1	0	cat tmp_par.txt | python3 trimbytes.py 72 | timeout 20s python3 rep_parallel.py --push 72 --offset 0 --shortcircuit 1 -e LE 
62	:	1737339647.919	     0.629	0	2900	1	0	cat tmp_par.txt | python3 trimbytes.py 61 | timeout 20s python3 rep_parallel.py --push 61 --offset 0 --shortcircuit 1 -e LE 
64	:	1737339647.945	     0.626	0	2778	1	0	cat tmp_par.txt | python3 trimbytes.py 63 | timeout 20s python3 rep_parallel.py --push 63 --offset 0 --shortcircuit 1 -e LE 
67	:	1737339648.003	     0.579	0	2595	1	0	cat tmp_par.txt | python3 trimbytes.py 66 | timeout 20s python3 rep_parallel.py --push 66 --offset 0 --shortcircuit 1 -e LE 
63	:	1737339647.931	     0.664	0	2839	1	0	cat tmp_par.txt | python3 trimbytes.py 62 | timeout 20s python3 rep_parallel.py --push 62 --offset 0 --shortcircuit 1 -e LE 
69	:	1737339648.051	     0.560	0	2473	1	0	cat tmp_par.txt | python3 trimbytes.py 68 | timeout 20s python3 rep_parallel.py --push 68 --offset 0 --shortcircuit 1 -e LE 
70	:	1737339648.084	     0.533	0	2412	1	0	cat tmp_par.txt | python3 trimbytes.py 69 | timeout 20s python3 rep_parallel.py --push 69 --offset 0 --shortcircuit 1 -e LE 
71	:	1737339648.100	     0.539	0	2351	1	0	cat tmp_par.txt | python3 trimbytes.py 70 | timeout 20s python3 rep_parallel.py --push 70 --offset 0 --shortcircuit 1 -e LE 
72	:	1737339648.111	     0.539	0	2290	1	0	cat tmp_par.txt | python3 trimbytes.py 71 | timeout 20s python3 rep_parallel.py --push 71 --offset 0 --shortcircuit 1 -e LE 
74	:	1737339648.135	     0.523	0	2168	1	0	cat tmp_par.txt | python3 trimbytes.py 73 | timeout 20s python3 rep_parallel.py --push 73 --offset 0 --shortcircuit 1 -e LE 
75	:	1737339648.148	     0.526	0	2107	1	0	cat tmp_par.txt | python3 trimbytes.py 74 | timeout 20s python3 rep_parallel.py --push 74 --offset 0 --shortcircuit 1 -e LE 
76	:	1737339648.163	     0.519	0	2046	1	0	cat tmp_par.txt | python3 trimbytes.py 75 | timeout 20s python3 rep_parallel.py --push 75 --offset 0 --shortcircuit 1 -e LE 
