dhcp.bad_bitfield,Bogus bitfield
dhcp.option.vendor.pxeclient.lcm_workgroup,LCM Workgroup
dhcp.option.vendor.pxeclient.menu_prompt,menu prompt
dhcp.option.vendor.pxeclient.menu_prompt.prompt,Prompt
dhcp.option.vendor.pxeclient.menu_prompt.timeout,Timeout
dhcp.option.vendor.pxeclient.mtftp_client_port,mtftp client port
dhcp.option.vendor.pxeclient.mtftp_delay,mtftp delay
dhcp.option.vendor.pxeclient.mtftp_ip,mtftp IP
dhcp.option.vendor.pxeclient.mtftp_server_port,mtftp server port
dhcp.option.vendor.pxeclient.mtftp_timeout,mtftp timeout
dhcp.option.vendor.pxeclient.multicast_address,multicast address
dhcp.option.vendor.pxeclient.multicast_address_alloc,multicast address alloc
dhcp.option.vendor.pxeclient.padding,Padding
dhcp.option.vendor.pxeclient.suboption,Option 43 Suboption
dhcp.option.vendor.value,Value
dhcp.option.vendor.value.address,Value
dhcp.option.vendor.value.string,Value
dhcp.option.vendor.value.uint,Value
dhcp.option.vendor_class_data,vendor-class-data
dhcp.option.vendor_class_id,Vendor class identifier
dhcp.option.vi.cl.erouter_container_option,eRouter Container Option
dhcp.option.vi.cl.modem_capabilities,Modem Capabilities
dhcp.option.vi.cl.option_request,Option Request
dhcp.option.vi.cl.suboption,Option 125 Suboption
dhcp.option.vi.cl.tftp_server_addresses,TFTP Server Addresses
dhcp.option.vi.enterprise,Enterprise
dhcp.option.vi.length,Length
dhcp.option.vi.tr111.device_manufacturer_oui,DeviceManufacturerOUI
dhcp.option.vi.tr111.device_product_class,DeviceProductClass
dhcp.option.vi.tr111.device_serial_number,DeviceSerialNumber
dhcp.option.vi.tr111.gateway_manufacturer_oui,GatewayManufacturerOUI
dhcp.option.vi.tr111.gateway_product_class,GatewayProductClass
dhcp.option.vi.tr111.gateway_serial_number,GatewaySerialNumber
dhcp.option.vi.tr111.suboption,Option 125 Suboption
dhcp.option.vi.value,Value
dhcp.option.vi.value.address,Value
dhcp.option.vi.value.string,Value
dhcp.option.vi.value.uint,Value
dhcp.option.vi_class.cl_address_mode,CableLab Address Mode
dhcp.option.vi_class.data,NetInfo Parent Server Tag
dhcp.option.vi_class.enterprise,Enterprise
dhcp.option.vi_class.length,Length
dhcp.option.vi_class.vendor_class_data.item.data,Data
dhcp.option.vi_class.vendor_class_data.item.length,Length
dhcp.option.xwindows_system_display_manager,X Window System Display Manager
dhcp.option.xwindows_system_font_server,X Window System Font Server
dhcp.secs,Seconds elapsed
dhcp.secs_le,Seconds elapsed appears to be encoded as little-endian
dhcp.server,Server host name
dhcp.server_name_overloaded_by_dhcp,Server name option overloaded by DHCP
dhcp.subopt.unknown_type,"ERROR, please report: Unknown subopt type handler"
dhcp.suboption_invalid,Invalid suboption
dhcp.type,Message type
dhcp.vendor.data,Data
dhcp.vendor.docsis.cm_cap_len,CM DC Length
dhcp.vendor.pc.i05_ccc.suboption,Suboption
dhcp.vendor.pc.ietf_ccc.suboption,Suboption
dhcp.vendor.pktc.mdc.supp_flow.basic,Basic Flow
dhcp.vendor.pktc.mdc.supp_flow.hybrid,Hybrid Flow
dhcp.vendor.pktc.mdc.supp_flow.secure,Secure Flow (Full Secure Provisioning Flow)
dhcp.vendor.pktc.mdc_cl.mib.management_event,PacketCable 1.5 Management Event MIB
dhcp.vendor.pktc.mdc_cl.mib.mem_extension,PacketCable 1.5 MEM Extension MIB
dhcp.vendor.pktc.mdc_cl.mib.mem_extention,PacketCable 1.5 MEM Extension MIB
dhcp.vendor.pktc.mdc_cl.mib.mta,PacketCable 1.5 MTA MIB
dhcp.vendor.pktc.mdc_cl.mib.mta_extension,PacketCable 1.5 MTA Extension MIB
dhcp.vendor.pktc.mdc_cl.mib.reserved,Reserved
dhcp.vendor.pktc.mdc_cl.mib.signaling,PacketCable 1.5 Signaling MIB
dhcp.vendor.pktc.mdc_cl.mib.signaling_extension,PacketCable 1.5 Signaling Extension MIB
dhcp.vendor.pktc.mdc_euro.mib.management_event,PacketCable 1.5 Management Event MIB
dhcp.vendor.pktc.mdc_euro.mib.mem_extension,PacketCable 1.5 MEM Extension MIB
dhcp.vendor.pktc.mdc_euro.mib.mem_extention,PacketCable 1.5 MEM Extension MIB
dhcp.vendor.pktc.mdc_euro.mib.mta,PacketCable 1.5 MTA MIB
dhcp.vendor.pktc.mdc_euro.mib.mta_extension,PacketCable 1.5 MTA Extension MIB
dhcp.vendor.pktc.mdc_euro.mib.reserved,Reserved
dhcp.vendor.pktc.mdc_euro.mib.signaling,PacketCable 1.5 Signaling MIB
dhcp.vendor.pktc.mdc_euro.mib.signaling_extension,PacketCable 1.5 Signaling Extension MIB
dhcp.vendor.pktc.mdc_ietf.mib.management_event,IETF Management Event MIB
dhcp.vendor.pktc.mdc_ietf.mib.mta,IETF MTA MIB
dhcp.vendor.pktc.mdc_ietf.mib.reserved,Reserved
dhcp.vendor.pktc.mdc_ietf.mib.signaling,IETF Signaling MIB
dhcp.vendor.pktc.mta_cap_len,MTA DC Length
dhcp.vendor.pktc.mta_cap_type,Type
dhcp.vendor.suboption,Option 125 Suboption
dhcp.vendor_specific_options,Bootp vendor specific options
