dhcp.bad_bitfield,Bogus bitfield
dhcp.option.agent_information_option.ani_operator_realm,Access Network Operator Realm
dhcp.option.agent_information_option.authentication,Authentication
dhcp.option.agent_information_option.docsis_device_class,DOCSIS Device Class
dhcp.option.agent_information_option.flags,Flags
dhcp.option.agent_information_option.link_selection,Link selection
dhcp.option.agent_information_option.link_selection_cisco,Link selection (Cisco proprietary)
dhcp.option.agent_information_option.padding,Padding
dhcp.option.agent_information_option.radius_attributes,RADIUS Attributes
dhcp.option.agent_information_option.relay_agent_id,Relay Agent Identifier
dhcp.option.agent_information_option.reserved,Reserved
dhcp.option.agent_information_option.server_id_override,Server ID Override
dhcp.option.agent_information_option.server_id_override_cisco,Server ID Override (Cisco proprietary)
dhcp.option.agent_information_option.source_port,Source Port
dhcp.option.agent_information_option.suboption,Option 82 Suboption
dhcp.option.agent_information_option.subscriber_id,Subscriber ID
dhcp.option.agent_information_option.value,Value
dhcp.option.agent_information_option.value.address,Value
dhcp.option.agent_information_option.value.string,Value
dhcp.option.agent_information_option.value.uint,Value
dhcp.option.agent_information_option.vi,Vendor-Specific Information
dhcp.option.agent_information_option.vi.cl.docsis_version,DOCSIS Version Number
dhcp.option.agent_information_option.vi.cl.dpoe_system_pbb_service,DPoE System PBB Service
dhcp.option.agent_information_option.vi.cl.dpoe_system_version,DPoE System Version Number
dhcp.option.agent_information_option.vi.cl.length,Length
dhcp.option.agent_information_option.vi.cl.mso_defined_text,MSO Defined Text
dhcp.option.agent_information_option.vi.cl.option,Option
dhcp.option.agent_information_option.vi.cl.secure_file_transfer_uri,Secure File Transfer URI
dhcp.option.agent_information_option.vi.cl.service_class_name,Service Class Name
dhcp.option.agent_information_option.vi.cl.tag,Tag
dhcp.option.agent_information_option.vi.cl.tag_length,Tag Length
dhcp.option.agent_information_option.vi.data_length,Data Length
dhcp.option.agent_information_option.vi.enterprise,Enterprise
dhcp.option.agent_information_option.vrf_name,VRF name
dhcp.option.agent_information_option.vrf_name.global,"Global, default VPN"
dhcp.option.agent_information_option.vrf_name.vpn_id,VRF name/VPN ID
dhcp.option.agent_information_option.vrf_name.vpn_id.index,VRF name/VPN ID Index
dhcp.option.agent_information_option.vrf_name.vpn_id.oui,VRF name/VPN ID OUI
dhcp.option.all_subnets_are_local,All Subnets are Local
dhcp.option.andsf_server,ANDSF Server
dhcp.option.arp_cache_timeout,ARP Cache Timeout
dhcp.option.associated_ip_option,Associated IP option
dhcp.option.boot_file_size,Boot File Size
dhcp.option.bootfile_name,Bootfile name
dhcp.option.broadcast_address,Broadcast Address
dhcp.option.bulk_lease.base_time,Base Time
dhcp.option.bulk_lease.data_source,Data Source
dhcp.option.bulk_lease.dhcp_state,Dhcp State
dhcp.option.bulk_lease.query_end_time,Query End Time
dhcp.option.bulk_lease.query_start_time,Query Start Time
dhcp.option.bulk_lease.start_time_of_state,Start Time Of State
dhcp.option.bulk_lease.status_code,Status Code
dhcp.option.bulk_lease.status_code_message,Status Code Message
dhcp.option.captive_portal,Captive Portal
dhcp.option.capwap_access_controller,CAPWAP Access Controllers
dhcp.option.civic_location.bad_cattype,Error with CAType
dhcp.option.civic_location.ca_length,CA Length
dhcp.option.civic_location.ca_type,CA Type
dhcp.option.civic_location.ca_value,CA Value
dhcp.option.civic_location.country,Country
dhcp.option.civic_location.what,What
dhcp.option.cl_dss_id,Country
dhcp.option.cl_dss_id.len,DSS_ID Length
dhcp.option.cl_dss_id.option,DSS_ID Type
dhcp.option.classless_static.route,Mask width > 32
dhcp.option.classless_static_route,Subnet/MaskWidth-Router
dhcp.option.client_architecture.ambiguous,Client Architecture ID may be ambiguous
